rank,fit,verdict,type,university,course,degree,universityCity,universityState,domainHits,focus,feePerYear,admissionSemester,admissionModus,detailUrl
"132","54","MAYBE","Private","Media Design University for Design and Computer Science","Information Technology - Data Science","Master of Science, Master","Berlin","Berlin","Applied Computer Science, Computer Science, Practical Computer Science","Cyber Security","8280","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/media-design-university-for-design-and-computer-science-information-technology-data-science-w72436/?hec-id=w72436"
"133","54","MAYBE","Private","Media Design University for Design and Computer Science","Information Technology - Data Science","Master of Science, Master","Berlin","Berlin","Data Science","Data Science","8280","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/media-design-university-for-design-and-computer-science-information-technology-data-science-w72437/?hec-id=w72437"
"134","54","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Computer Science - Cyber Security","Master of Science, Master","Berlin, Leipzig","Berlin, Saxony","Information Systems and Management, Applied Computer Science, Computer Science, Practical Computer Science","Cyber Security, Information Security, Information Security, IT Security, Computer Science, Business Informatics, Data Analysis, Data Analysis, Data Security, Safety","10080","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-computer-science-cyber-security-w61451/?hec-id=w61451"
"135","54","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Digital Transformation Management","Master of Science, Master","Hamburg","Hamburg","Technology Management, Applied Computer Science, Data Science","Data Analytics, Change Management, Process Management, Innovation Management, Leadership, Digital Transformation, Digital Transformation, Cyber Security, Company Development","9480","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-digital-transformation-management-w64728/?hec-id=w64728"
"136","54","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Digital Supply Chain Management","Master of Science, Master","Berlin","Berlin","Applied Computer Science","Supply Chain Management, Process Management, Programming, Business Intelligence, Big Data, Operations Research, Enterprise Resource Planning, Digital Transformation, International Management","10080","Summer Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-digital-supply-chain-management-w67457/?hec-id=w67457"
"137","54","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Data Science: Business Analytics","Master of Science, Master","Fürth","Baden-Württemberg","Data Science","Data Mining, Software, Artificial Intelligence, Business Analytics, Analytics","9000","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-data-science-business-analytics-w72981/?hec-id=w72981"
"138","54","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Computer Science","Master of Science, Master","Dresden, Leipzig","Saxony","Data Science","Computer Science, Big Data, Artificial Intelligence, Cybersecurity, Software Development, Cloud Computing, Data Science","8280","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-computer-science-w72984/?hec-id=w72984"
"139","54","MAYBE","Private","University of Applied Sciences Fresenius","Computer Science","Master of Science, Master","Köln, Berlin","North Rhine-Westphalia, Berlin","Computer Science","Cyber Attacks & Threat Management, Intelligent Systems, Machine Learning","10560","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-fresenius-computer-science-w72013/?hec-id=w72013"
"140","54","MAYBE","Private","XU Exponential University of Applied Sciences","Data Science","Master's, Master","Potsdam","Brandenburg","Data Science","","8496","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/xu-exponential-university-of-applied-sciences-data-science-w74901/?hec-id=w74901"
"141","52","MAYBE","University","Bauhaus-Universität Weimar","Computer Science for Digital Media","Master of Science, Master","Weimar","Thuringia","Media Informatics, Computer Science, Computer Engineering","Big Data Analytics, Computer Graphics, Computer Vision, Data Mining and Information Retrieval, Human-Computer Interaction, Machine Learning, Mobile Media, Usability, Virtual Reality, Visual Analytics","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bauhaus-universitaet-weimar-computer-science-for-digital-media-w56915/?hec-id=w56915"
"142","52","MAYBE","University","Bauhaus-Universität Weimar","Digital Engineering","Master of Science, Master","Weimar","Thuringia","Applied Computer Science","Modelling, Simulation and Validation, Visualisation and Data Science, https://www.uni-weimar.de/en/civil-engineering/studies/master-degree-programmes/digital-engineering/curriculum/","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bauhaus-universitaet-weimar-digital-engineering-w58999/?hec-id=w58999"
"143","52","MAYBE","Private","ESMT European School of Management and Technology","Master's in Analytics and Artificial Intelligence","Master of Science, Master","Berlin","Berlin","Artificial Intelligence, Data Science","","36000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/esmt-european-school-of-management-and-technology-masters-in-analytics-and-artificial-intelligence-w67189/?hec-id=w67189"
"144","52","MAYBE","University","Free University Berlin","Data Science","Master of Science, Master","Berlin","Berlin","Statistics, Data Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-berlin-data-science-w64061/?hec-id=w64061"
"145","52","MAYBE","Hochschule","Furtwangen University - computer science, technology, economics, media, health","Artificial Intelligence and Data Science for Digital Business Management","Master of Science, Master","Furtwangen","Baden-Württemberg","Mathematics, Computer Science","Programming & Software Engineering, Machine Learning & Applied Statistics, Business Operations & Logistics, Digital Performance Marketing & Automation, Agile Project Management & Design Thinking, Artificial Intelligence & Deep Learning, Business Intelligence for Big Data & MLOps, Electives, IT Architectures, Cloud & IT Management, eCommerce, CRM & Lead Management","","Summer Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/furtwangen-university-computer-science-technology-economics-media-health-artificial-intelligence-and-data-science-for-digital-business-management-w72154/?hec-id=w72154"
"146","52","MAYBE","Hochschule","Hamburg University of Applied Sciences","Information and Communications Engineering","Master, Master","Hamburg","Hamburg","Electrical Engineering, Mechatronics, Computer Engineering","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hamburg-university-of-applied-sciences-information-and-communications-engineering-w72904/?hec-id=w72904"
"147","52","MAYBE","University","Heidelberg University","Data and Computer Science","Master of Science, Master","Heidelberg","Baden-Württemberg","Applied Computer Science","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heidelberg-university-data-and-computer-science-w7675/?hec-id=w7675"
"148","52","MAYBE","Hochschule","Hochschule Nordhausen","Computer Engineering for IOT SYSTEMS","Master of Engineering, Master","Nordhausen","Thuringia","Computer Engineering","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-nordhausen-computer-engineering-for-iot-systems-w65163/?hec-id=w65163"
"149","52","MAYBE","Hochschule","Hof University of Applied Sciences","Applied Research in Computer Science","Master of Science, Master","Hof","Bavaria","Media Informatics, Information Systems and Management, Practical Computer Science","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hof-university-of-applied-sciences-applied-research-in-computer-science-w63879/?hec-id=w63879"
"150","52","MAYBE","Hochschule","Hof University of Applied Sciences","Artificial Intelligence and Robotics","Master of Science, Master","Hof","Bavaria","Artificial Intelligence, Computer Science, Engineering Informatics, Data Science","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hof-university-of-applied-sciences-artificial-intelligence-and-robotics-w67120/?hec-id=w67120"
"151","52","MAYBE","TU","Karlsruhe Institute of Technology (KIT)","Computer Science","Master of Science, Master","Karlsruhe","Baden-Württemberg","Mathematics, Statistics, Artificial Intelligence, Computer Science, Data Science","Business and Economics, Computational Chemistry, Computational Earth System Sciences, Computational Mechanics and Thermodynamics, Computational Physics, Electrical Engineering & Information Technology, Process Engineering, Robotics and Autonomous Systems, Mathematics, Computer Science","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/karlsruhe-institute-of-technology-kit-computer-science-w73116/?hec-id=w73116"
"152","52","MAYBE","University","Munich University of Technology","Computer Science: Games Engineering","Master of Science, Master","Garching","Bavaria","Software Engineering","Computer Graphics and Animation, Interaction and Communication, Hardware-aware Programming, Numerics and Simulation, Autonomous Systems, Game Theory and Algorithmic Economics, Internet Models, Technologies, Applications, Visual Computing, Databases and Information Systems","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computer-science-games-engineering-w46838/?hec-id=w46838"
"153","52","MAYBE","University","Munich University of Technology","Data Engineering and Analytics","Master of Science, Master","Garching","Bavaria","Computer Science, Data Science","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-data-engineering-and-analytics-w54981/?hec-id=w54981"
"154","52","MAYBE","University","Munich University of Technology","Mathematics in Data Science","Master of Science, Master","Garching","Bavaria","Mathematics, Data Science","Methods and Algorithms from Statistics, Methods and Algorithms from Machine Learning, Methods and Algorithms of Optimisation, Methods and Algorithms from the Theory of Data Representation, Theory and Applications: Data Engineering, Theory and Applications: Data Analytics, Theory and Applications: Machine Learning und Data Science, Theory and Applications: Data Analysis","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-mathematics-in-data-science-w55325/?hec-id=w55325"
"155","52","MAYBE","University","Munich University of Technology","Information Engineering at Heilbronn Campus","Master of Science, Master","Heilbronn","Baden-Württemberg","Computer Science, Engineering Informatics","","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-information-engineering-at-heilbronn-campus-w70911/?hec-id=w70911"
"156","52","MAYBE","Hochschule","South Westphalia University of Applied Sciences","International Management & Information Systems-online (career-integrated continuing combined degree course)","Master of Arts, Master","Soest","North Rhine-Westphalia","Information Systems and Management","Business Informatics, Information Systems, ERP Enterprise Resource Planning, Business Intelligence, E-Business, Management Accounting & Finance, International Management, International Economics, Process Management, Innovation Management","4400","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-international-management-information-systems-online-career-integrated-continuing-combined-degree-course-w63892/?hec-id=w63892"
"157","52","MAYBE","TU","Technical University Braunschweig","Data Science","Master of Science, Master","Braunschweig","Lower Saxony","Applied Mathematics, Software Engineering, Data Science","Methods and Concepts of Mathematics, 25 CP (incl. Linear Algebra in Data Science, Optimisation in Data Science), Methods and Concepts of Computer Science, 25 CP (including data processing, data analysis, data management), Application Area, 15-25 CP (Image and signal processing\; Medicine\; Biology, Chemistry and Pharmacy\; Data Science in Engineering), Key Qualifications and Ethics, 5-15 CP","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-braunschweig-data-science-w64805/?hec-id=w64805"
"158","52","MAYBE","TU","Technical University Braunschweig","Quantum Technologies in Electrical and Computer Engineering","Master of Science, Master","Braunschweig","Lower Saxony","Electrical Engineering, Information Technology, Engineering Informatics","Quantum Structure Devices, Quantum Information Processing and Quantum Computing","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-braunschweig-quantum-technologies-in-electrical-and-computer-engineering-w67867/?hec-id=w67867"
"159","52","MAYBE","Hochschule","Technische Hochschule Ingolstadt","User Experience Design","Master of Arts, Master","Ingolstadt","Bavaria","Computer Science","Interaction Design, Design, Strategy and Management, Usability Research, Agile Project Management, Multimodal Interactive Systems","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-user-experience-design-w64245/?hec-id=w64245"
"160","52","MAYBE","Hochschule","Technische Hochschule Ingolstadt","Artificial Intelligence","Master of Science, Master","Ingolstadt","Bavaria","Artificial Intelligence, Software Engineering, Computer Engineering, Data Science","Voice Assistance Systems, Deep Learning, AI and Ethics, Intelligent Robots, AI in Safety-relevant Systems, Advanced Speech Technology, AI in Safety-Related Systems","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-artificial-intelligence-w66233/?hec-id=w66233"
"161","52","MAYBE","Hochschule","University of Applied Sciences Emden/Leer","Industrial Informatics","Master of Engineering, Master","Emden","Lower Saxony","Electrical Engineering, Computer Engineering","Computer Science, Electrical Engineering, Industrial Cyber-Physical Systems","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-emdenleer-industrial-informatics-w29281/?hec-id=w29281"
"162","52","MAYBE","Hochschule","University of Applied Sciences Offenburg","Enterprise and IT Security","Master, Master","Offenburg","Baden-Württemberg","Information Systems and Management, Computer Science","Corporate Security, Information Technology, Ethics and Law","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-offenburg-enterprise-and-it-security-w63849/?hec-id=w63849"
"163","52","MAYBE","University","University of Augsburg","Data Science","Master of Science, Master","Augsburg","Bavaria","Applied Mathematics, Statistics, Data Science","Algorithms and Data Engineering, Machine Learning, Mathematical Methods, Process Mining, Deep Learning, Computer Vision, Quantum Algorithms, Natural Language Understanding, Mathematical Modelling; Statistics, High-Dimensional Probability; Ethics and Computer Science","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-augsburg-data-science-w73001/?hec-id=w73001"
"164","52","MAYBE","University","University of Augsburg","Mathematics and Computer Science","Master of Science, Master","Augsburg","Bavaria","Mathematics, Statistics, Artificial Intelligence, Computer Science, Data Science","Stochastic Processes, Numerical Analysis of PDEs, Mathematical Modelling, High Dimensional Probability, High Performance Computing, Image Processing, Deep Learning, Quantum Algorithms, Process Mining, Embedded Systems","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-augsburg-mathematics-and-computer-science-w73002/?hec-id=w73002"
"165","52","MAYBE","University","University of Bayreuth","Scientific Computing","Master of Science, Master","Bayreuth","Bavaria","Applied Mathematics, Artificial Intelligence, Applied Computer Science, Data Science","Numerical Mathematics, Modeling and Simulation, High Performance Computing, Scientific Computing","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bayreuth-scientific-computing-w64082/?hec-id=w64082"
"166","52","MAYBE","University","University of Bayreuth","Digitalisation & Sustainability in Materials Science & Engineering","Master of Science, Master","Bayreuth","Bavaria","Engineering Informatics","Connected Knowledge in Materials Science, Informatics, Sustainability, Materials Science, Social, Economic and Legal Aspects of Sustainability, Sustainable Applications & Processes for Materials, Circular Economy & Sustainable Raw Materials, Digitalisation in Materials Science","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bayreuth-digitalisation-sustainability-in-materials-science-engineering-w65263/?hec-id=w65263"
"167","52","MAYBE","University","University of Bonn","Computer Science","Master of Science, Master","Bonn","North Rhine-Westphalia","Computer Science","Algorithmics, Graphics, Vision and Audio, Information and Communication Management, Intelligent Systems","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-computer-science-w18320/?hec-id=w18320"
"168","52","MAYBE","Private","University of Europe for Applied Sciences","Generative Design & AI","Master of Arts, Master","Potsdam","Brandenburg","Artificial Intelligence","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-generative-design-ai-w70242/?hec-id=w70242"
"169","52","MAYBE","University","University of Göttingen","Applied Data Science","Master, Master","Göttingen","Lower Saxony","Applied Computer Science, Data Science","Computational Neuroscience, Bioinformatics, Medical Data Science, Digital Humanities","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-applied-data-science-w64855/?hec-id=w64855"
"170","52","MAYBE","University","University of Hildesheim","Data Analytics (International Master’s degree)","Master of Science, Master","Hildesheim","Lower Saxony","Software Engineering","Data Analytics, Applied Computer Science, Data Analysis, Data Science","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hildesheim-data-analytics-international-masters-degree-w55328/?hec-id=w55328"
"171","52","MAYBE","University","University of Mannheim","Mannheim Master in Data Science (MMDS)","Master of Science, Master","Mannheim","Baden-Württemberg","Computer Science, Data Science","Digital Management, Data Analytics","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-mannheim-mannheim-master-in-data-science-mmds-w55352/?hec-id=w55352"
"172","52","MAYBE","University","University of Marburg","Business Informatics","Master of Science, Master","Marburg","Hessen","Information Systems and Management, Computer Science","Business Informatics, Computer Science, Business Administration, Accounting and Finance, Market-Oriented Company Management, Innovation and Information","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-marburg-business-informatics-w53974/?hec-id=w53974"
"173","52","MAYBE","University","University of Münster","Data Science","Master of Science, Master","Münster","North Rhine-Westphalia","Data Science","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-muenster-data-science-w76328/?hec-id=w76328"
"174","52","MAYBE","University","University of Potsdam","Computer Science at the Hasso Plattner Institute","Master of Science, Master","Potsdam","Brandenburg","Applied Computer Science, Computer Science, Software Engineering","","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-computer-science-at-the-hasso-plattner-institute-w70337/?hec-id=w70337"
"175","52","MAYBE","University","University of Regensburg","Data Science","Master of Science, Master","Regensburg","Bavaria","Data Science","Methods, Information Systems, Computational Life Sciences","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-data-science-w73519/?hec-id=w73519"
"176","51","MAYBE","Hochschule","Berlin School of Applied Sciences (HTW)","Professional IT Business and Digitalisation","Master of Science, Master","Berlin","Berlin","Applied Computer Science, Computer Science, Practical Computer Science, Data Science","","7125","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-school-of-applied-sciences-htw-professional-it-business-and-digitalisation-w65229/?hec-id=w65229"
"177","50","BLOCKED","Hochschule","Fulda University of Applied Sciences","Global Software Development","Master of Science, Master","Fulda","Hessen","Applied Computer Science, Computer Science, Software Engineering","Software Development, Angewandte Informatik, Softwareentwicklung, international, programmieren, Informatik, Software, IT, Entwickler, cybersecurity","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fulda-university-of-applied-sciences-global-software-development-w48425/?hec-id=w48425"
"178","50","BLOCKED","Hochschule","South Westphalia University of Applied Sciences","Informatics and Business","Master of Science, Master","Hagen","North Rhine-Westphalia","Information Systems and Management, Computer Science","ERP and Analytical Systems, IT Quality Management, Data Analysis, Design Thinking, Industry 4.0, Project Management, Quality-Driven Software Development, Requirement Engineering, SAP;, Test-Driven Development","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-informatics-and-business-w65029/?hec-id=w65029"
"179","50","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Artificial Intelligence (AI) in Business","Master of Science, Master","Berlin","Berlin","Technology Management, Artificial Intelligence","Business, KI, Digitale Transformationen, Technologie, Transformation, Businessmanagement, Management","10080","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-artificial-intelligence-ai-in-business-w76735/?hec-id=w76735"
"180","50","MAYBE","University","University of Oldenburg","Engineering of Socio-Technical Systems","Master of Science, Master","Oldenburg","Lower Saxony","Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-oldenburg-engineering-of-socio-technical-systems-w58377/?hec-id=w58377"
"181","48","MAYBE","Hochschule","Heilbronn University","Applied Artificial Intelligence","Master, Master","Heilbronn","Baden-Württemberg","Applied Mathematics, Artificial Intelligence, Practical Computer Science, Data Science","Application Track: focus on the practical development and application of AI technologies, Research Track: students engage intensively in scientific research in the field of artificial intelligence","3000","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heilbronn-university-applied-artificial-intelligence-w76327/?hec-id=w76327"
"182","48","MAYBE","Private","IU International University","Artificial Intelligence","Master of Science, Master","Erfurt","Thuringia","Artificial Intelligence","Artificial Intelligence, Advanced Mathematics, Advanced statistics, Machine Learning, Deep Learning","6588","Admission in all quarters","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-artificial-intelligence-w64135/?hec-id=w64135"
"183","48","MAYBE","TU","RWTH Aachen University","Data Analytics and Decision Science","Master of Science, Master","Aachen","North Rhine-Westphalia","Engineering Informatics, Data Science","","15000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-data-analytics-and-decision-science-w60434/?hec-id=w60434"
"184","48","MAYBE","University","University of Erlangen-Nuremberg","Digital Business & AI","Master of Business Administration, Master","Erlangen","Bavaria","Artificial Intelligence, Data Science","","14875","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-digital-business-ai-w64291/?hec-id=w64291"
"185","47","MAYBE","Hochschule","Rhine-Waal University of Applied Sciences","Usability Engineering","Master of Science, Master","Kamp-Lintfort","North Rhine-Westphalia","Media Informatics, Computer Science","Usability, User Experience, User Research, Usability Testing, Digital Production for Interaction Design, Psychology for UX Practitioners, Strategic Usability Engineering, Human Computer Interaction (HCI), Methodology, Interaction Design","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhine-waal-university-of-applied-sciences-usability-engineering-w31435/?hec-id=w31435"
"186","46","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Applied Computer Science","Master of Science, Master","Stuttgart, Heidelberg","Baden-Württemberg","Applied Computer Science","Business Computing, Multimedia Development","10080","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-applied-computer-science-w40883/?hec-id=w40883"
"187","46","MAYBE","Hochschule","University of Applied Sciences Neu-Ulm","Artificial Intelligence and Health Informatics","Master of Science (M.Sc.), Master","Neu-Ulm","Bavaria","Medical Informatics, Artificial Intelligence","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-neu-ulm-artificial-intelligence-and-health-informatics-w77135/?hec-id=w77135"
"188","46","MAYBE","University","University of Bremen","Management Information Systems","Master, Master","Bremen","Bremen","Information Systems and Management","Business Informatics","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bremen-management-information-systems-w65376/?hec-id=w65376"
"189","44","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Digital Health and Data Science","Master of Science, Master","Fürth","Baden-Württemberg","Data Science","","9000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-digital-health-and-data-science-w67297/?hec-id=w67297"
"190","42","MAYBE","Hochschule","Berlin University of Applied Sciences","Data Science","Master of Science, Master","Berlin","Berlin","Computer Science, Data Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-applied-sciences-data-science-w58177/?hec-id=w58177"
"191","42","MAYBE","University","Bielefeld University","Data Science","Master of Science, Master","Bielefeld","North Rhine-Westphalia","Applied Computer Science, Data Science","Data Analysis, Data Mining, Statistics, Data Science","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bielefeld-university-data-science-w60824/?hec-id=w60824"
"192","42","MAYBE","University","Catholic University in Eichstätt - Ingolstadt","Data Science","Master of Science, Master","Ingolstadt","Bavaria","Mathematics, Data Science","Data Analytics, Operations Research, Weather and Climate Research","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/catholic-university-in-eichstaett-ingolstadt-data-science-w72869/?hec-id=w72869"
"193","42","MAYBE","University","Eberhard Karls University Tübingen","Computational Neuroscience","Master of Science, Master","Tübingen","Baden-Württemberg","Computer Science","Computational Neuroscience, Neurobiology, Computer Science, Bioinformatics, Neuroinformatics, Artificial Intelligence, Neurophysics","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-computational-neuroscience-w32499/?hec-id=w32499"
"194","42","MAYBE","University","Eberhard Karls University Tübingen","Machine Learning","Master of Science, Master","Tübingen","Baden-Württemberg","Artificial Intelligence, Data Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-machine-learning-w63840/?hec-id=w63840"
"195","42","MAYBE","University","Frankfurt University","AI and Digital Technology in Learning and Instruction","Master of Science, Master","Frankfurt am Main","Hessen","Computer Science","wissenschaftliche Analyse, Gestaltung und Evaluation von KI-basierten und digitalen Technologien in Bildungsprozessen","","Winter Semester only","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/frankfurt-university-ai-and-digital-technology-in-learning-and-instruction-w76981/?hec-id=w76981"
"196","42","MAYBE","University","Free University Berlin","Computational Sciences","Master of Science, Master","Berlin","Berlin","Applied Mathematics, Applied Computer Science","","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-berlin-computational-sciences-w54278/?hec-id=w54278"
"197","42","MAYBE","Hochschule","Furtwangen University - computer science, technology, economics, media, health","Business Consulting","Master of Science, Master","Furtwangen","Baden-Württemberg","Information Systems and Management","IT Consulting, Business Intelligence, Business Process Management, Enterprise Resource Planning (ERP) Systems, Database Management","3000","Summer Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/furtwangen-university-computer-science-technology-economics-media-health-business-consulting-w5845/?hec-id=w5845"
